TrackName,ArtistName,LyricsLink,SpotifyID
Atemlos durch die Nacht,Helene Fischer,https://www.songtexte.com/songtext/helene-fischer/atemlos-durch-die-nacht-35e159b.html,1cSXzDZt8vzuUp2XREQEJN
Über den Wolken,Dieter Thomas Kuhn,https://www.songtexte.com/songtext/dieter-thomas-kuhn/uber-den-wolken-33c328f1.html,1TjwY364VvErxagfEIw1eD
Ein bisschen Spaß muss sein,Roberto Blanco,https://www.songtexte.com/songtext/roberto-blanco/ein-bisschen-spass-43de4753.html,5bYpoFFTImibvRIf54KdKq
Schön ist es auf der Welt zu sein,Roy Black und Anita,https://www.songtexte.com/songtext/roy-black/schon-ist-es-auf-der-welt-zu-sein-3bde5cdc.html,0xyd446fcUjbUScrubDFWg
Ein bischen Frieden,Nicole,https://www.songtexte.com/songtext/nicole/ein-bisschen-frieden-4bf2cb46.html,5ZSfGGi8OF1vSSVNAWdQT1
"Marmor, Stein und Eisen bricht",Drafi Deutscher,https://www.songtexte.com/songtext/drafi-deutscher/marmor-stein-und-eisen-bricht-23de64ef.html,70gS6bjAjFc96IIunuRj1c
Regenbogenfarben,Kerstin Ott,https://www.songtexte.com/songtext/kerstin-ott/regenbogenfarben-g6b9116fe.html,6gIYuz2SGLUpVal67FobLz
Warum hast du nicht nein gesagt,Roland Kaiser und Maite Kelly,https://www.songtexte.com/songtext/roland-kaiser-and-maite-kelly/warum-hast-du-nicht-nein-gesagt-6b15dada.html,4omRd4BJaHglIrmJeUttJl
Im Wagen vor mir,Henri Valentino,https://www.songtexte.com/songtext/henri-valentino/im-wagen-vor-mir-73b4b669.html,0ZvRbLOqsKlHQwshZoGN7H
Liebeskummer lohnt sich nicht,Vanessa Neigert,https://www.songtexte.com/songtext/vanessa-neigert/liebeskummer-lohnt-sich-nicht-53baa7bd.html,6UOKcYYh3zpMyP4KG2BRLy
Rote Lippen soll man küssen,Cliff Richard,https://www.songtexte.com/songtext/cliff-richard/rote-lippen-soll-man-kussen-2bd35c22.html,2z0ObRjCedb9HKxquvvpPO
Ohne Krimi geht die Mimi nie ins Bett,Bill Ramsey,https://www.songtexte.com/songtext/bill-ramsey/ohne-krimi-geht-die-mimi-nie-ins-bett-1962-7bc26288.html,2lqAEj942QwKOw9sqD6wKw
Du entschuldige - i kenn di,Peter Cornelius,https://www.songtexte.com/songtext/peter-cornelius/du-entschuldige-i-kenn-di-53d85309.html,0EU1QSamfdveKFIlxN1jW0
Du hast mich tausend Mal belogen,Andrea Berg,https://www.songtexte.com/songtext/andrea-berg/du-hast-mich-tausend-mal-belogen-33c25cc9.html,65wKbNqjUTmdyk47Z31Czm
Achterbahn,Helene Fischer,https://www.songtexte.com/songtext/helene-fischer/achterbahn-g23f1bc0b.html,7ETXZgTaOfGsBmcqMB8Ibt
Es fährt ein Zug nach Nirgendwo,Christian Anders,https://www.songtexte.com/songtext/christian-anders/es-fahrt-ein-zug-nach-nirgendwo-1bde5d58.html,3PFwPn0z3FW3KzCVeFy7tf
Wunder gibt es immer wieder,Katja Ebstein,https://www.songtexte.com/songtext/katja-ebstein/wunder-gibt-es-immer-wieder-43de47c3.html,68pun2nSn33MONTnLYKgpm
Schöner fremder Mann,Connie Francis,https://www.songtexte.com/songtext/connie-francis/schoner-fremder-mann-1bd0bdc0.html,6jhNnyDMpxD8xCBATr9CuM
Sugar Baby,Peter Kraus,https://www.songtexte.com/songtext/peter-kraus/sugar-baby-43c32f73.html,1zEvQWm3uUC0URnH2rsd99
