TrackName,ArtistName,LyricsLink,SpotifyID
Nur geträumt,Nena,https://www.songtexte.com/songtext/nena/nur-getraumt-73dcfa69.html,27DEhFC0G2olRFgCTksnfw
3-Tage-Bart,Die Ärzte,,4lrXiq5OH5lFvZh7geO69F
"Hurra, hurra, die Schule brennt",Extrabreit,https://www.songtexte.com/songtext/extrabreit/hurra-hurra-die-schule-brennt-2bd810ba.html,4LI4YCdKH2fLjyhtbtHXrY
Goldener Reiter,Joachim Witt,https://www.songtexte.com/songtext/joachim-witt/goldener-reiter-63c386bf.html,7sgbBeINoJ4TDUDIloK9li
Sternenhimmel,Hubert Kah,https://www.songtexte.com/songtext/hubert-kah/sternenhimmel-4bfe371e.html,79hX0z70ufkP63Ocr4Jz4K
Skandal im Sperrbezirk,Spider Murphy Gang,https://www.songtexte.com/songtext/spider-murphy-gang/skandal-im-sperrbezirk-6bc3860a.html,26kXONuhWX8sutaxnmcpPg
Westerland,Die Ärzte,,1eG2FBRf9hgdsMdH5lA04M
Leuchtturm,Nena,https://www.songtexte.com/songtext/nena/leuchtturm-7bdcfa68.html,2hdTQDv5m3tPilprHChrjT
Codo (...düse im Sauseschritt),Döf,https://www.songtexte.com/songtext/massiv-in-mensch/codo-duse-im-sauseschritt-73f5e649.html,5LeHzi6zItFT81Ik2EwCWo
1000 und 1 Nacht (Zoom!),Klaus Lage,https://www.songtexte.com/songtext/klaus-lage/1000-und-1-nacht-zoom-43d93bb7.html,52jP6hYf7FQxYiyK493YRb
Kling Klang,Keimzeit,https://www.songtexte.com/songtext/keimzeit/kling-klang-7bcf36ac.html,2PqKNYsquDC99ZEcQvdGnz
Major Tom (Völlig losgelöst),Peter Schilling,https://www.songtexte.com/songtext/peter-schilling/major-tom-vollig-losgelost-43dcfbef.html,2epRW3O5YLwiqcxOdaI4Mm
Ich will Spaß,Markus,https://www.songtexte.com/songtext/markus/ich-will-spass-5bca5fa0.html,4NHO1vwPG2Do1Y3gByphbV
"Irgendwie, irgendwo, irgendwann",Nena,https://www.songtexte.com/songtext/nena/irgendwie-irgendwo-irgendwann-63dcfa0f.html,5i30V8zohIAzKiu617O3cL
Der Kommissar,Falco,https://www.songtexte.com/songtext/falco/der-kommissar-2000-3dc896f.html,3TBRJsLCcwroEkA3tD4u2N
Ohne Dich (schlaf' ich heut Nacht nicht ein),Münchener Freiheit,https://www.songtexte.com/songtext/munchener-freiheit/ohne-dich-schlaf-ich-heut-nacht-nicht-ein-g7b9c72f0.html,7JM1dFLOa1kI5MqGnDufiY
Aloha Heja He,Achim Reichel,,3AQLL3Waks6LJ9FI8TFHGA
99 Luftballons,Nena,https://www.songtexte.com/songtext/nena/99-luftballons-63dcfa57.html,4ZhPLoMzZwewHLLjV1J15c
Blaue Augen,Ideal,https://www.songtexte.com/songtext/ideal/blaue-augen-73da72c1.html,2pCPSNMAsw0R5FQkkvr6ry
Carbonara,Spliff,,7MU1uNaZzTkwHQV8sRNB3l
Schickeria,Spider Murphy Gang,https://www.songtexte.com/songtext/spider-murphy-gang/schickeria-6bc38616.html,1mOIOim4QHFVKavrJQ8G90
Sonderzug nach Pankow,Udo Lindenberg & Das Panik-Orchester,https://www.songtexte.com/songtext/udo-lindenberg/sonderzug-nach-pankow-1bda7514.html,1vlzhoQJKTmEVDmSXcFT4a
Ein Jahr (Es geht voran),Fehlfarben,,6mMUoEgOl1yuGMJ6dfHzh6
Verdamp lang her,BAP,https://www.songtexte.com/songtext/bap/verdamp-lang-her-63c226f3.html,12Gf7Ffl7pxj7mQF1ehRBy
